マーケティング指標 1,マーケティング指標 2,マーケティング指標 3,マーケティング指標 4,マーケティング指標 5,マーケティング指標 6,マーケティング指標 7,マーケティング指標 8,マーケティング指標 9,マーケティング指標 10,マーケティング指標 11,マーケティング指標 12,マーケティング指標 13,マーケティング指標 14,マーケティング指標 15,マーケティング指標 16,マーケティング指標 17,マーケティング指標 18,マーケティング指標 19,マーケティング指標 20,マーケティング指標 21,マーケティング指標 22,マーケティング指標 23,マーケティング指標 24,マーケティング指標 25,マーケティング指標 26
加藤 香織,535,164,333,359,630,791,2,94,866,820,584,532,786,285,655,778,884,412,9,610,955,117,162,919,489
吉田 涼平,216,736,213,851,358,774,381,897,744,733,407,499,744,540,859,94,98,710,587,566,235,804,203,157,434
松本 春香,707,503,860,378,491,61,563,81,311,923,706,395,645,735,684,961,35,199,598,242,744,947,81,256,623
高橋 直子,301,494,762,273,880,853,832,486,657,155,345,931,85,185,70,619,856,13,127,40,149,438,449,93,547
木村 七夏,724,671,178,107,519,494,398,657,143,876,276,399,133,508,511,43,407,790,173,752,267,675,30,918,77
小林 真綾,870,920,676,72,756,417,17,251,914,320,397,19,193,85,501,491,117,723,259,408,146,680,31,260,23
小林 和也,334,169,745,130,378,963,467,595,287,120,668,948,662,321,798,463,593,614,797,501,109,598,895,104,490
斎藤 結衣,914,66,252,865,587,674,608,265,378,174,803,362,995,273,558,590,789,884,472,933,280,511,129,171,723
山田 浩,303,513,250,435,441,521,169,678,762,310,252,700,348,143,598,177,540,462,551,184,392,567,623,95,24
渡辺 結衣,42,992,49,568,648,473,772,849,127,394,147,668,109,256,504,897,652,611,326,217,415,348,434,385,614
近藤 明美,290,153,764,852,372,711,242,747,711,815,710,22,294,751,342,171,385,242,681,226,829,803,443,778,994
加藤 裕樹,257,615,599,150,603,80,172,947,322,427,280,863,277,993,120,447,439,563,357,403,702,406,375,334,19
佐藤 花子,925,130,40,106,868,122,194,490,452,32,711,583,331,571,389,376,854,214,662,416,363,896,323,392,230
高橋 結衣,493,235,946,656,627,760,578,990,413,263,353,384,291,351,59,377,894,202,946,432,471,965,914,219,880
橋本 さゆり,864,804,704,277,439,667,196,706,72,871,787,725,158,660,473,977,444,980,572,174,707,255,937,107,630
山下 涼平,484,889,389,190,964,627,824,531,141,815,726,306,797,521,925,729,144,293,377,500,522,443,863,651,391
佐藤 陽一,665,268,109,273,743,762,846,144,46,602,184,744,772,814,44,829,725,488,532,737,923,772,9,550,819
石井 陽子,978,96,266,800,237,307,776,667,821,493,552,527,706,470,509,865,688,499,816,448,103,507,354,745,956
渡辺 洋介,76,711,856,552,838,573,988,152,688,938,832,948,13,447,24,595,96,637,999,779,686,350,871,334,122
林 明美,690,662,55,124,672,503,551,800,322,508,103,763,276,636,984,271,710,926,837,499,545,137,140,662,357
渡辺 真綾,513,340,912,204,667,151,144,915,378,156,939,584,21,758,198,327,752,810,202,7,550,445,547,72,107
中島 千代,910,685,23,460,424,253,155,843,771,875,541,861,769,148,999,322,139,222,277,708,179,403,968,107,49
藤井 太郎,225,535,949,592,181,949,89,522,118,924,979,484,497,932,766,835,263,824,991,325,771,980,391,573,932
渡辺 修平,44,978,261,291,750,100,883,754,982,980,824,854,311,822,203,463,844,916,777,169,642,742,646,397,534
橋本 桃子,261,365,210,596,323,123,169,835,940,769,315,263,343,758,681,768,110,953,743,995,502,344,971,64,742
青木 太一,188,573,173,63,535,875,779,522,52,154,519,165,844,354,788,913,211,312,327,621,408,501,628,587,213
鈴木 真綾,601,508,471,543,325,211,628,880,199,279,503,32,663,21,735,893,150,0,897,613,562,673,575,622,174
中村 修平,523,403,430,253,997,559,979,686,540,113,434,952,274,958,49,820,300,514,36,934,407,345,923,343,743
阿部 京助,670,830,626,743,553,980,451,626,741,194,590,991,834,722,505,316,873,770,780,535,623,295,703,78,47
清水 篤司,292,891,482,627,724,576,578,612,999,244,315,262,375,29,171,889,35,288,906,371,673,84,504,692,603
近藤 香織,666,650,708,964,108,790,62,506,153,84,321,69,940,548,831,405,818,447,495,588,129,579,997,80,35
藤井 舞,416,704,203,670,607,185,360,483,458,719,829,813,818,475,479,478,919,774,177,10,315,414,422,249,567
山本 智也,825,722,478,980,901,355,807,672,354,52,460,265,894,385,569,341,822,800,516,307,901,186,170,332,700
井上 太一,221,297,117,357,673,876,611,127,563,250,273,27,413,40,831,91,905,9,439,385,609,175,300,584,728
阿部 美加子,181,547,496,801,809,633,403,722,448,282,113,122,957,833,818,718,936,626,991,85,100,7,433,157,50
鈴木 加奈,452,438,515,597,16,798,70,818,317,502,765,726,315,413,1,159,263,516,318,162,457,238,185,158,996
佐藤 太郎,692,356,886,72,767,219,204,707,967,689,136,550,777,822,523,450,431,284,290,924,800,180,565,655,24
山田 加奈,887,569,118,170,839,711,344,226,433,934,539,64,303,535,763,800,874,629,74,184,263,825,730,880,305
中村 晃,389,627,795,331,383,393,273,302,73,331,378,330,782,412,230,626,594,593,375,982,643,69,542,827,99
渡辺 聡太郎,334,232,406,967,933,813,841,773,407,37,517,710,725,557,890,435,292,797,745,122,411,292,548,990,771
前田 拓真,242,30,556,800,306,244,51,965,608,24,266,845,457,171,59,762,849,301,652,683,742,736,836,608,692
渡辺 春香,158,221,243,944,851,346,463,29,468,953,270,239,297,736,707,754,991,472,42,140,199,871,239,832,326
木村 真綾,763,38,162,571,961,551,913,59,287,42,292,195,983,164,832,798,517,211,878,722,620,688,983,961,933
佐々木 稔,993,190,642,731,879,581,324,354,40,52,694,780,326,313,356,132,624,688,590,973,489,718,747,705,633
後藤 淳,767,443,557,739,77,429,675,546,481,235,108,498,75,819,660,320,650,9,111,757,541,452,561,117,663
鈴木 裕樹,659,974,158,333,292,91,159,196,268,44,55,716,311,629,659,454,931,322,683,223,342,828,472,994,205
木村 学,293,620,585,277,550,359,223,627,684,145,777,697,66,930,914,429,766,765,69,372,742,174,272,476,451
石川 健一,53,934,816,885,780,315,291,8,360,148,340,405,694,786,670,93,739,692,64,788,588,940,948,45,758
木村 晃,91,218,150,541,462,358,933,30,221,418,64,938,355,837,194,517,768,543,236,405,343,88,709,436,788
岡田 桃子,862,916,190,97,866,146,563,864,467,651,949,770,445,498,597,291,761,629,967,530,498,441,280,73,14
高橋 智也,678,41,155,832,965,711,953,392,564,84,976,971,788,220,653,6,840,304,816,865,110,61,363,427,280
松本 和也,458,559,360,211,633,531,698,437,59,319,497,807,798,506,102,213,333,534,1,18,449,103,762,178,227
山本 舞,892,715,838,813,201,197,947,694,635,424,305,442,495,525,125,210,62,998,467,127,371,155,96,255,459
中村 陽子,591,574,182,928,823,534,860,874,271,760,925,988,377,740,122,383,717,975,590,534,609,725,924,879,520
加藤 浩,392,420,997,374,900,508,836,132,386,467,298,708,241,777,161,270,752,897,169,899,388,702,606,121,686
山下 結衣,266,512,320,272,812,760,665,754,151,659,206,182,751,98,243,45,225,305,765,13,679,407,332,942,373
松本 桃子,786,468,839,141,614,936,435,338,889,355,360,124,797,350,842,391,141,931,140,919,107,840,154,997,892
松本 桃子,655,423,401,745,765,654,312,727,653,53,840,122,158,792,861,914,46,465,959,409,449,91,984,118,161
中村 聡太郎,796,693,920,350,600,394,608,891,904,388,464,57,793,939,547,143,843,457,567,810,720,66,730,414,243
加藤 聡太郎,359,550,444,295,812,817,779,967,37,336,69,494,998,206,783,277,48,720,448,258,553,33,956,790,927
田中 知実,517,439,366,59,388,365,508,747,144,390,906,713,354,193,40,654,953,309,919,297,592,523,672,227,905
鈴木 英樹,628,62,357,581,138,562,416,816,506,439,883,83,334,13,756,833,950,151,56,319,999,751,422,764,585
小川 千代,64,650,535,138,976,201,850,586,481,833,882,801,394,275,610,250,0,297,32,364,438,510,971,660,296
近藤 智也,172,531,941,475,90,91,112,599,396,932,998,274,524,342,843,802,506,910,966,781,411,466,587,767,708
鈴木 真綾,653,857,712,702,159,46,234,841,738,323,742,492,212,24,985,778,146,98,633,97,179,6,13,607,173
佐々木 淳,406,711,349,270,161,830,474,465,479,392,766,197,906,479,518,488,725,514,10,52,108,265,116,825,574
松本 明美,367,251,712,691,366,997,329,898,655,787,219,67,900,213,66,540,330,673,863,622,746,163,267,706,113
林 聡太郎,955,207,92,819,846,724,229,784,635,981,273,446,245,253,589,816,454,253,801,813,696,584,824,994,615
山崎 裕太,562,858,545,28,292,178,193,818,920,937,709,642,372,113,458,221,467,414,166,640,825,197,990,694,854
岡田 亮介,608,921,954,50,470,676,631,637,2,531,302,100,841,426,95,510,111,773,588,274,688,67,314,377,275
木村 さゆり,440,77,475,500,942,302,603,665,325,259,702,307,5,462,672,865,641,252,785,270,0,418,440,302,527
井上 淳,148,423,193,80,751,717,732,788,323,142,690,599,465,359,611,951,992,792,233,312,433,899,350,777,911
鈴木 加奈,954,658,820,936,451,764,235,30,278,423,712,744,209,46,25,343,268,455,97,734,553,721,845,789,194
佐々木 幹,659,588,384,979,344,841,67,785,707,388,179,322,116,341,368,92,139,160,265,761,229,783,774,634,49
伊藤 晃,391,121,297,941,973,27,567,779,869,216,109,507,470,646,557,437,449,638,404,799,898,343,12,180,235
渡辺 裕美子,190,459,175,443,269,227,793,774,712,50,936,363,757,10,535,70,982,980,6,54,341,66,628,571,39
山本 裕美子,536,913,274,358,860,611,195,816,18,212,217,470,938,32,863,262,923,236,982,3,4,325,414,733,555
田中 和也,245,880,338,70,198,330,721,215,297,157,41,496,873,238,143,34,401,513,898,74,34,88,692,749,924
斉藤 春香,501,579,991,794,654,826,650,600,396,548,238,184,373,820,502,295,385,55,137,90,37,93,98,209,822
高橋 淳,867,320,356,497,478,906,746,533,933,418,298,427,364,15,520,971,121,682,105,701,518,76,230,300,340
鈴木 結衣,538,916,275,40,584,34,471,550,747,824,547,125,554,241,629,828,330,905,246,256,175,494,251,270,494
清水 真綾,784,0,754,290,278,29,811,116,143,572,845,311,163,356,281,718,789,844,834,330,11,822,964,84,469
中川 淳,393,809,887,208,290,782,667,752,836,73,8,748,409,54,92,24,873,205,211,273,811,327,102,346,109
松田 花子,955,815,420,405,79,203,893,918,953,779,794,670,494,514,345,938,444,560,827,881,857,988,930,231,355
佐藤 桃子,961,970,643,39,481,948,598,338,510,664,787,643,102,518,775,155,255,553,570,604,333,181,394,186,138
林 千代,183,788,48,280,566,258,49,846,137,956,156,808,527,465,214,113,277,786,28,960,704,155,376,771,685
山田 直樹,773,58,839,987,43,200,492,224,670,498,269,793,636,242,56,752,568,224,996,276,318,744,537,704,418
佐々木 翼,276,295,483,375,883,79,948,894,749,17,706,646,614,542,245,790,170,478,987,14,194,155,460,138,330
山田 淳,793,743,480,287,864,496,334,67,275,694,402,543,276,364,284,909,887,546,850,565,181,394,37,773,752
藤原 太一,488,834,502,248,44,492,94,808,14,404,619,780,64,854,40,334,584,58,13,819,357,845,185,589,218
鈴木 陽子,328,310,712,746,295,980,263,606,53,349,765,482,397,279,900,662,325,234,646,460,850,606,391,25,13
高橋 香織,613,154,888,142,355,929,205,174,369,308,184,315,335,302,193,853,418,993,878,968,528,404,339,582,401
高橋 さゆり,769,391,503,494,74,779,658,863,738,50,843,78,965,315,669,565,307,758,858,976,712,893,913,928,733
小林 知実,784,643,0,325,712,372,324,560,485,799,181,471,285,513,292,298,158,982,120,179,662,234,763,809,599
渡辺 健一,26,750,304,683,185,255,505,50,420,78,630,465,276,778,804,136,616,804,638,445,173,399,374,123,15
石川 香織,398,119,887,575,868,464,302,170,13,439,725,638,891,450,110,326,9,545,87,532,224,775,898,166,982
松本 あすか,402,745,548,678,122,925,141,631,333,674,863,378,452,425,591,475,442,884,599,873,162,402,654,275,876
鈴木 修平,302,121,815,827,741,877,267,45,865,778,635,339,99,644,792,80,130,391,608,879,529,10,822,754,699
